docid,title,snippet1,snippet2,snippet3,Q1_score,Q2_score,Q3_reason,other_text,ManualBiasLabel,outletLabel,Correct
b797ece5-54cb-4d34-9bac-9a42f0c37d6f,Michael Flynn's Offense Statement & Collusion -- No Evidence,"Moments ago, the special counsel released Michael Flynn’s “Statement of the Offense.” This document lays out Flynn’s crimes in far greater detail than the short “information” released earlier today. It’s important to state this clearly as possible — the statement contains no evidence of collusion with Russia to influence the presidential election. Instead, it amplifies the fact that Flynn apparently lied about contacts that were lawful and appropriate.","First, the statement says that the day after President Obama announced sanctions in response to Russian efforts to interfere with the 2016 election, Flynn called a “senior official of the Presidential Transition Team (PTT)” who was with other “senior members of the PTT” at Mar-a-Lago. On the call, Flynn and the “senior official” said that they did not want Russia to “escalate the situation.” Flynn called the Russian ambassador “immediately after” his call with the senior official to communicate the incoming administration’s request. The next day, Putin announced that Russia would not retaliate against the United States, and the Russian ambassador later informed Flynn that Putin had decided not to retaliate in response to his request.","Unless Kushner has lied to the FBI about these contacts, this is not a scandal. Nothing that we’ve seen in any of the plea deals or indictments yet indicates any scheme to collude with Russia to influence the election. To be sure, we haven’t seen all the evidence (ABC reports that Flynn was instructed to contact Russia during the campaign, and we don’t yet know the substance of these contacts), but right now it looks like Flynn pled guilty to lying to the FBI about doing his job.",-2.5,2.5,"[""0"",""5""]",,Right,Right,True
9cbd3c92-4a23-419d-9244-bc7373bf51fc,Michael Flynn Charge: Monstrous Injustice or Prelude to Bigger Things?,"There’s not much middle ground here. In reading the single-count criminal information against Michael Flynn, I was struck by an immediate thought. If this is all there is, then Flynn is the victim of a monstrous injustice. If not, then brace yourselves. We’re still only seeing the tip of the Mueller investigation iceberg. First, read the information here:","Just in: Robert Mueller has charged former Trump national security advisor Michael Flynn with “willfully and knowingly” making “false, fictitious and fraudulent statements” to the FBI regarding conversations with Russia’s ambassador. pic.twitter.com/WqvDmytYiZ — David Wright (@DavidWright_CNN) December 1, 2017","ABC also reports that Flynn is willing to testify against Trump and members of the Trump family. Now, before everyone starts yelling “collusion,” the report said nothing about why Trump allegedly directed him to reach out to Russia. If it was contact for election collusion, that’s dire. I also think that’s highly unlikely. If it was contact to set the stage for post-election relations and cooperation, that’s far less problematic — unless members of the Trump administration (or Trump family) have been lying to the FBI about those contacts. So, we could be looking at less of a criminal conspiracy and more of a festival of lies surrounding a non-conspiracy. That’s at least consistent with the guilty pleas (Flynn and Papadopoulos) so far. Stay tuned.",-2.5,-2.5,"[""1"",""5""]",,Left,Right,False
780d1c18-1f05-4365-9f25-9a3ee0a42dd2,BREAKING: Michael Flynn Charged With Making False Statements To The FBI,"Former U.S. National Security Adviser Michael Flynn arrives for a plea hearing at U.S. District Court in Washington, December 1, 2017. REUTERS/Jonathan Ernst","Former national security adviser Michael Flynn has been charged with making false statements to the FBI, Special Counsel Robert Mueller revealed in court documents filed on Friday.",Follow Chuck on Twitter,-5.0,-2.5,"[""6""]",,Right,Right,True
e054b4ff-6926-4acf-b52d-f19aabd7d523,Donald Trump to put North Korea on terrorist list: ‘A murderous regime’,"President Trump put North Korea back on the U.S. government’s list of state sponsors of terrorism Monday, as the administration increased pressure on Pyongyang to give up its nuclear weapons and long-range missile programs.","The designation will be followed by new economic sanctions against the already heavily sanctioned communist country, said Mr. Trump, who has made confronting dictator Kim Jong-un a top foreign policy priority.","Song Tao, the most senior Chinese official to visit Pyongyang, North Korea’s capital, in two years, was officially tasked with briefing the government on China’s recent party congress, but his trip came almost immediately after President Trump visited Beijing for extensive talks with Chinese President Xi Jinping, in which Mr. Trump urged Beijing to take a tougher line against its neighbor.",-5.0,0.0,"[""5"",""3""]",,Left,Right,False
b3a17af5-d043-4f2f-b9e5-8e191d0c8aaa,Cards Against Humanity Is Trying To Sabotage Trump’s Border Wall Construction,"CEDAR RAPIDS, IA - JUNE 21: President Donald Trump speaks at a rally on June 21, 2017 in Cedar Rapids, Iowa. Trump spoke about renegotiating NAFTA and building a border wall that would produce solar power during the rally. (Photo by Scott Olson/Getty Images)","A company behind a popular card game is trying to sabotage President Donald Trump’s plan to build a wall along the U.S.-Mexico border by purchasing up portions of land in that long horizontal area, and offering potential customers a cut.","Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact [email protected].",-5.0,-2.5,"[""1"",""5""]",,Left,Right,False
35492fcc-28c7-499f-8822-711352bbcca0,Trump Stands With Putin Over Russia’s Election Meddling,Photo: Mikhail Klimentyev/AFP/Sputnik/Getty Images,"President Trump suggested on Saturday that Russian president Vladimir Putin is more trustworthy than America’s intelligence agencies on the matter of whether Russia interfered in last year’s U.S. presidential election. Speaking with reporters aboard Air Force One, Trump implied that he believed Putin’s claim of innocence on the issue, which Trump said came up while the two leaders were chatting at the Asia-Pacific Economic Cooperation summit in Vietnam. The two had no formal meeting at the summit, but talked two or three times on the sidelines. It was during at least one of those conversations that Russia’s election meddling was broached, according to Trump.","This time, Putin’s press secretary denied that the topic even came up while Putin and Trump chatted at the Asia summit, and the Kremlin said that the leaders had only discussed Syria and “confirmed their determination to defeat ISIS” in the country, per a joint statement released by Russia. As far as Putin himself, he remarked on Saturday that U.S.-Russia relations “have not come out of the crisis state yet,” but that “we are prepared to turn the page and go forward to look into the future to solve the problems that are of interest to people of the United States and people of the Russian Federation.” The ongoing Russia investigation in the U.S. is only “a manifestation of a continuing domestic political struggle,” according to Putin. On that point, Trump and Putin have always been in agreement.",0.0,-5.0,"[""5"",""3""]",,Center,Left,False
f6978ce2-eb8b-4dde-96c4-7d8aa260a32e,Elizabeth Warren Says 2016 Democratic Nomination Rigged For Hillary Clinton,"Sen. Elizabeth Warren (D-Mass.) said “yes,” she believes the 2016 Democratic nomination for president was rigged in favor of Hillary Clinton, and that the party faces “a real problem” in dealing with the fallout from the revelation that Clinton’s campaign secretly took over control of the Democratic National Committee in 2015.","Responding to the disclosure by Donna Brazile, who became interim chairwoman of the DNC as last year’s election approached, Warren told CNN’s Jake Tapper on Thursday that Democratic leaders must restore faith in the party’s operations.","The excerpt, first published in Politico, includes details about Brazile’s call to Sanders after she discovered the arrangement, set up under her predecessor, Rep. Debbie Wasserman Schultz (D-Fla.).",5.0,5.0,"[""0"",""5""]",,Right,Left,False
a6f0e5d3-4776-4f1d-8bce-25856e911b36,"Trump distances himself from indictments, says Papadopoulos has 'proven to be a liar'","The smallest fish in the net hauled up Monday by Special Counsel Robert Mueller is a ""liar"" and a low-level aide with a history of exaggerating his role in last year's presidential campaign, according to President Trump and other administration officials.","Listed as a former foreign policy adviser to President Trump’s campaign, the 30-year-old George Papadopoulos pleaded guilty earlier this month to making false statements to the FBI. He allegedly tried to set up meetings between Team Trump and the Kremlin, then lied about to the FBI.",Fox News' Alex Pappas contributed to this report.,-2.5,5.0,"[""5"",""3""]",,Left,Right,False
c6b09540-12f4-44b2-b28d-d2c15176288c,"The Russia Dossier Story: A Perfect Storm of Clinton Deception, Media Irresponsibility, and Democratic Moral Blindness","Remember that infamous Russian “dossier,” the unverified document that BuzzFeed unceremoniously dumped into the public square earlier this year? You might recall it as making a series of incredibly salacious and completely unproven accusations against the sitting president of the United States. Well, it turns out that it was a piece of partisan opposition research, bought and paid for by the Hillary Clinton campaign and the Democratic National Committee, both of which then denied having anything to do with it after the fact.","Last night the Washington Post reported that the Clinton campaign and the DNC used a lawyer named Marc Elias to retain the oppo-research firm Fusion GPS to conduct research on the Trump campaign (the firm had previously worked on behalf of a still-unidentified Republican to investigate Trump). Fusion GPS then hired a former intelligence officer named Christopher Steele, who conducted an investigation and authored the dossier. According to the Post, the Clinton campaign and the DNC used the law firm to pay Fusion GPS right until the end of October 2016.","— David French is a senior writer for National Review, a senior fellow at the National Review Institute, and an attorney.",-2.5,2.5,"[""5"",""3""]",,Center,Right,False
9f822b6d-6980-4af1-8d39-81527708b3ee,Mueller has filed charges in Russia-Trump associates probe: multiple reports,"A federal grand jury has approved the first charges in special counsel Robert Mueller’s investigation into possible collusion between Russia and members of the Trump presidential campaign, with indictments to be announced as early as Monday, according to multiple news agencies.","The charges being filed was reported first by CNN, which said anyone charged will be taken into custody Monday. However, the charges have been sealed by a federal judge. So whoever is charged and whether the charges are criminal remains unclear.",Trump has denied allegations that his campaign colluded with Russians and condemned investigations into the matter as “a witch hunt”.,0.0,-2.5,"[""5"",""4""]",,Left,Right,False
b965e522-18e6-46ff-8d65-fee6a7ea48ec,"Trump heads to Las Vegas to comfort a grieving city, expected to avoid gun politics","President Trump left Washington Wednesday morning en route to Las Vegas where he plans to meet with the victims, first responders and doctors caught up in the deadliest mass shooting in U.S. history.",But he is expected to steer clear of the gun control issue.,"“You came through big for me, and I am going to come through for you,” Trump said in April at the NRA’s convention.",-2.5,-5.0,"[""5"",""4""]",,Right,Right,True
fc9dd17a-43c2-4697-8de6-808ba7e2b323,CBS Legal Exec: No Sympathy For Vegas ‘Because Country Music Fans Often Are Republican’,"The CBS television network logo is seen outside their offices on 6th avenue in New York, U.S., May 19, 2016. Television journalist Morley Safer, who made his reputation as a Vietnam War correspondent for CBS and then became a mainstay on the network's ""60 Minutes"" show for 46 years, died at age 84 on Thursday, a few days after his retirement, the network announced. REUTERS/Shannon Stapleton - S1BETEZORSAB",WATCH AERIAL FOOTAGE OF WHERE THE SHOOTING TOOK PLACE:,"Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact [email protected].",-5.0,2.5,"[""5"",""4""]",,Left,Right,False
1bac511a-ab59-4820-8558-74d9cdf0f86f,"Las Vegas Shooting -- Very, Very Strange","Before I begin, let me clearly state two things. First, as I note in the title of this post, my observations are based on early reports, and early reports are often wrong. Second, do not read this post as implying any sort of conspiracy theory of any kind. I’m merely noting the facts as we currently understand them — and how they differ from recent mass shootings.","As virtually everyone has noted from the abundant video footage of the incident, it certainly sounds as if the shooter used either fully-automatic weapons or semi-automatic weapons modified (through, for example, a bump fire stock) to closely simulate automatic fire. Moreover, the police are reporting that he had “more than 10 rifles.” He apparently rented his corner room for days and may have even set up cameras to detect when police were approaching. That’s all strange enough, but it’s even more unusual when you consider that his own family apparently didn’t know that he maintained a stockpile of guns. Here’s this, from the gunman’s brother, suggesting that the gunman wasn’t an avid gun guy at all:","Hopefully, the next few days will bring clarity. They may even render the shooter somehow more “normal” and explainable. For now, however, a dark and terrible day ends in confusion. We know what happened. We just don’t know why.",5.0,0.0,"[""5"",""3""]",,Left,Right,False
1b8a9395-94b4-4183-9b16-f12bd692aadd,Vegas Gunman May Have Used Automatic Rifle in Massacre,Photo: David Becker/Getty Images,"A gunman opened fire on a crowd at a country-music concert in Las Nevada, Nevada, on Sunday night, killing at least 58 people and injuring more than 500 in the deadliest mass shooting in modern American history.","The suspected shooter’s brother said in an interview that Paddock was “not an avid gun guy,” and said that “the fact that he had those kinds of weapons … where the hell did he get automatic weapons? He has no military background or anything like that.”",2.5,2.5,"[""6""]",,Right,Left,False
ba32bc4e-212b-4d9f-bea7-4d6cb7448e9b,Massacre Comes Amid Soaring Gun-Violence Rates in Las Vegas,Photo: Ethan Miller/Getty Images,"Last night’s shooting in Las Vegas, the deadliest mass shooting in modern American history, clearly stands out for its toll, venue, and method.","Las Vegas’s murder rate is likely to ebb and flow, but as long as guns are cheap and easily available, which they are in Nevada, it is likely to remain stubbornly high, and everyday acts of violence will continue to fade into the background.",-2.5,2.5,"[""5"",""3""]",,Right,Left,False
b71fb6be-5524-4c37-84df-cb4e95d34f2b,Las Vegas shooting: Jason Aldean on stage when shots rang out near Mandalay Bay,Country music star Jason Aldean confirmed his safety on Instagram early Monday morning after gunshots went off while he was performing on stage at the Route 91 Harvest country music festival in Las Vegas.,"Aldean was reportedly singing the last song of his set, ""When She Says Baby.""","This is the fourth time the country music festival was being held in Las Vegas and this year it was headlined by popular singers like Eric Church, Sam Hunt, Maren Morris, the Brothers Osborne, Lee Brice, Kane Brown, and Lauren Alaina, The Las Vegas Weekly reported.",-5.0,-2.5,"[""6""]",,Center,Right,False
2f8919db-7911-49fb-9511-3a49d8bf04ed,Deadliest Mass Shooter In US History Identified,"LAS VEGAS, NV - OCTOBER 02: An injured person is tended to in the intersection of Tropicana Ave. and Las Vegas Boulevard after a mass shooting at a country music festival nearby on October 2, 2017 in Las Vegas, Nevada. A gunman has opened fire on a music festival in Las Vegas, killing over 20 people. Police have confirmed that one suspect has been shot dead. The investigation is ongoing. (Photo by Ethan Miller/Getty Images)","Authorities have identified 64-year-old Stephen Paddock of Mesquite, Nevada, as the suspected gunman in the massacre that left 59 dead and more than 500 wounded Sunday night at a Las Vegas casino.","Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact [email protected].",2.5,0.0,"[""6""]",,Left,Right,False
35a8c7f6-c43d-4f7b-b081-4af30219afbc,CBS Legal Exec Fired For Vegas Shooting Hot Take,"NEW YORK, NY - AUGUST 02: The CBS headquarters seen on August 2, 2013 in New York City. Time Warner Cable dropped CBS in three major markets- New York, Los Angeles and Dallas - today, after negotiations fell through. (Photo by Andrew Burton/Getty Images)",A top legal executive at CBS was fired Monday for comments she made on a Facebook post that was first reported by The Daily Caller News Foundation.,"Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact [email protected].",5.0,2.5,"[""5"",""4""]",,Left,Right,False
22db9529-bbc3-46b1-83ad-522571b4d065,Las Vegas shooting: At least 59 dead in massacre Trump calls 'act of pure evil',"A gunman turned a Las Vegas concert into a killing field Sunday night from his perch on the 32nd floor of the Mandalay Bay Resort and Casino, using at least 10 guns to rain down a steady stream of fire, murdering at least 59 people and injuring more than 520 others in the deadliest mass shooting in modern United States history.","The suspect, who died of a self-inflicted gunshot wound, was identified as 64-year-old Stephen Paddock, a resident of Mesquite, Nevada. Police initially sought a woman believed to be Paddock's roommate, Marilou Danley, as a ""person of interest."" Detectives later made contact with her, and ""do not believe she is involved with the shooting on The Strip.""","Sunday's shooting came more than four months after a suicide bombing at an Ariana Grande concert in Manchester, England, that killed 22 people. Almost 90 people were killed by gunmen inspired by the Islamic State terror group at the Bataclan concert hall in Paris during a performance by Eagles of Death Metal in November 2015.",2.5,-5.0,"[""1"",""5""]",,Left,Right,False
8662fb3a-a8c3-4be5-82d2-a0d6d7eed3ff,"The Las Vegas Shooter Passed Background Checks, Had Ammonia Nitrate in His Car","It’s still unclear exactly what the shooter in Las Vegas used to carry out his disgusting attack last night. By all accounts, he had so many weapons that it’ll be a while before we know which ones he chose. Nevertheless, two new pieces of evidence have come to light in the last few hours, and both give us a little insight into who he was and what he was hoping to achieve. The first piece of news is that the killer “passed all required federal background checks” on at least two recent occasions:","Two Nevada gun shops confirmed Monday that they sold firearms to Mandalay Bay shooter Stephen Paddock in the last year and said he passed all required background checks. It was unknown if the weapons Paddock bought from the gun shops, New Frontier Armory in North Las Vegas and from Guns and Guitars in Mesquite, were used in the casino massacre.","The second is that, per the sheriff of the Las Vegas Police Department, the shooter had “ammonia nitrate” in his car. Given the peculiar sophistication of this attack — David French wrote about that earlier — one can only begin to wonder what else he had planned. As far as I understand, ammonia nitrate is an ingredient in what we’d call a “fertilizer bomb.” For whatever reason, this person was serious and he was prepared. Hopefully we’ll soon have some idea of his motive.",-5.0,-5.0,"[""0"",""5""]",,Left,Right,False
