docid,title,snippet1,snippet2,snippet3,mturk_majority_label,news-source-bias,label_by_us,mturk_majority == news_source,annotation ratio,mturk_majority == our label,mturk_majority_label,mturk_majority == news_source,annotation ratio,mturk_majority == our label,useless guys judgement == majority judgement,odd one's reason,
71269911-e445-4eee-8c88-5b11130167af,Ten inconsistencies in Donald Trump's big foreign policy address,"For a speech purporting to challenge Washington‰Ûªs accepted wisdom, there was much that was familiar about Donald Trump‰Ûªs first big foreign policy address, not least the customary certainty of its delivery.",A call to challenge radical Islam through ‰ÛÏphilosophical struggle‰Ûù as well as military force might even have come from the lips of Barack Obama. Certainly no mainstream Republican would ever disagree with the somewhat motherhood-and-apple-pie exhortation for US presidents to view the world ‰ÛÏthrough the clear lens of American interests‰Ûù.,"It is perhaps unfair, however, to dwell too closely on textual analysis of a speech clearly written by a number of people. ‰ÛÏWe will no longer surrender this country or its people to the false song of globalism‰Ûù is a powerful line, but it does not sound very much like it was written by the same man who told a rally in Pennsylvania on Monday: ‰ÛÏDo I look like a president? How handsome am I?‰Ûù",Left,Lean Left,Left,1,0:05,1,Left,1,0:04,1,1,,
3c4e3ad5-61f9-4c3b-868f-d3ec0dbc74c7,Trump fails to impress foreign-policy experts,"In his address to an elite, invitation-only Washington foreign policy audience Wednesday, Donald Trump promised that, as president, he would restore a ‰ÛÏcoherent‰Ûù vision to America‰Ûªs role in the world.","But across the ideological spectrum, and even among natural allies, Trump‰Ûªs speech received a failing grade for coherence and drew snickering and scorn from foreign policy insiders who remain unconvinced that Trump is up to the job.","‰ÛÏRonald Reagan must be rolling over in his grave,‰Ûù Graham tweeted.",Left,Center,Lean Left,0,1:01:03,1,Left,0,1:03,1,0,,
668c47ca-f35a-4075-b4b5-30cfc870a7e5,It‰Ûªs what was left unsaid in Trump‰Ûªs speech that matters most,What was important about Donald Trump‰Ûªs much anticipated foreign policy speech Wednesday is what he didn‰Ûªt say. There was no mention by the self-declared Republican Party‰Ûªs presumptive presidential nominee of his determination to build a wall between Mexico and the United States and get the Mexican government to pay for it.,"There was only a passing reference to his frequent criticism of illegal immigrants, the theme that helped launch his presidential campaign last summer.","That was not only vintage Trump, but a precursor of what lies ahead if Mr. Trump, indeed, wins the nomination.",Left,Lean Right,Right / Left - Trump re pochanor jonno lekha,0,1:01:03,0,Left,0,1:01:03,0,,,
4036ab43-daf0-4209-83b0-969969cdbdf2,The Cuban Embargo Is One of the Least Effective Foreign Policy Initiatives in U.S. History,"In what one longtime Cuba watcher is calling ‰ÛÏthe biggest day for U.S.-Cuban relations in 50 years,‰Ûù the two governments announced a prisoner exchange today that removes some of the largest impediments to full diplomatic relations between the longtime adversaries. Both President Obama and Cuban President RaÌ_l Castro are due to make statements later today, and according to ABC News, ‰ÛÏThe White House is indicating the beginning of new talks on everything from travel restrictions to eventual lifting of the Cuban embargo in place since John F. Kennedy was president.‰Ûù","Alan Gross, an American who was arrested and charged with ‰ÛÏacts against the independence and territorial integrity of the state‰Ûù in 2009 while attempting to deliver communications equipment to religious groups on the island as a subcontractor for USAID, has been released and is now en route back to the U.S. Gross was reportedly in poor health, and Obama had suggested earlier this month that his release would ‰ÛÏremove an impediment to more constructive relations.‰Ûù","(Update, 12:38 p.m. The measures announced by the White House on Wednesday include many of the steps mentioned above, including more travel licenses, allowing the export of goods to private Cuban enterprises, and the sale of communications equipment and authorizing U.S. credit and debit card use by U.S. travelers to Cuba. The State Department will also be reviewing Cuba‰Ûªs state terrorism designation. More dramatically, the U.S. is re-establishing an embassy in Havana in the next few months and beginning talks on restoring full diplomatic relations. This was a lot faster and more sweeping than expected.)",Center,Lean Left,Left / Center with a very small hint of obama khocha,0,1:01:03,0,Center,0,1:01:02,0,1,,4
c81f6e2f-607c-44a1-8499-e5b636799542,Obama Acts on Cuba,"Here are four names, long forgotten, that should be noted today: Armando Alejandre, Carlos Costa, Pablo Morales, and Mario de la PeÌ±a. They were three U.S. citizens and one permanent resident. They were pilots with Brothers to the Rescue, the outfit that looks for Cuban refugees, as they are stranded or desperate on the sea.","On February 24, 1996, the four pilots were shot out of the sky by the Cuban dictatorship‰Ûªs forces. The planes were in international airspace at the time. The Castro government killed the men simply because they were trying to help innocent Cubans.","The Cuban government is not legitimate, and never has been. It is a one-party dictatorship with a gulag, an archipelago of prisons into which democrats and dissidents are thrown. We hope that the new American policy ‰ÛÓ Obama‰Ûªs policy ‰ÛÓ does not benefit the Cuban dictatorship and harm Cuban democrats. We fear that yesterday was a good day for the Castros and a bad day for the Cuban people, and for American foreign policy.",Right,Right,Right,1,0:05,1,Right,1,0:04,1,1,,
e6dab88a-754e-4f31-9b4e-61e8d9afdf30,Obamacare Customers Face Big Price Hikes Next Year,"WASHINGTON ‰Û¥ The rate hikes are coming. Eight days before the beginning of a crucial enrollment season for the Affordable Care Act‰Ûªs health insurance exchange marketplaces, federal officials announced Monday how much prices are going up.","The gist: a lot. But like everything Obamacare, it‰Ûªs not that simple. The law‰Ûªs financial assistance will protect millions of lower-income families from these premium increases, and others can find relief by switching to different plans next year to save money. There will be losers, however, mostly among higher-income households that find can‰Ûªt avoid the premium increases and are forced to either pay more or go without health insurance.","But high sticker prices, especially for those who receive small subsidies or none at all, threaten to discourage people who need the coverage the least: those healthy individuals that insurers covet because they pay in and seldom draw down. If these exchanges can‰Ûªt find the right balance between costs and revenues, insurers will be less willing to sell policies on them, and customers will be less willing to buy that coverage, which would undermine the system for everyone using it.",Right,Left,Right,0,1:01:03,1,Right,0,1:01:02,0,1,,
,,,,,,,,,,,,,,,,,
,,,,,,,,8,,12,,8,,10,9/13,,
,,,,,,,,,1:1:3 - 8/16,,,,1:1:3 - 7/16,,,,3
,,,,,,,,,,,,,all agree - 4,,,,
,,,,,,,,,,,,,1:3 - 4/16,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3
